current_path,current_path_database,current_path_guid,current_path_age,current_json_metadata,current_json_metadata_database,current_json_metadata_guid,current_json_metadata_age,current_json_metadata_format,current_json_metadata_producer_name,current_json_metadata_producer_version,current_isfinfo_valid,current_isfinfo_base_types,current_isfinfo_types,current_isfinfo_symbols,current_isfinfo_enums,current_isfinfo_id,new_path,new_path_database,new_path_guid,new_path_age,new_json_metadata,new_json_metadata_database,new_json_metadata_guid,new_json_metadata_age,new_json_metadata_format,new_json_metadata_producer_name,new_json_metadata_producer_version,new_isfinfo_valid,new_isfinfo_base_types,new_isfinfo_types,new_isfinfo_symbols,new_isfinfo_enums,new_isfinfo_id
windows/ntkrpamp.pdb/5DB70D89A5D2460D8734465D5A3D8C57-2.json.xz,ntkrpamp.pdb,5DB70D89A5D2460D8734465D5A3D8C57,2,"{'format': '6.0.0', 'producer': {'datetime': '2019-01-16T12:56:53.652000', 'name': 'dia2json', 'version': '0.2.0'}, 'windows': {'pdb': {'GUID': '5DB70D89A5D2460D8734465D5A3D8C57', 'age': 2, 'database': 'ntkrpamp.pdb', 'machine_type': 332}, 'pe': {'build': 21339, 'major': 6, 'minor': 2, 'revision': 9200}}}",ntkrpamp.pdb,5DB70D89A5D2460D8734465D5A3D8C57,2,6.0.0,dia2json,0.2.0,Unknown,15,961,21214,133,-,windows_new/ntkrpamp.pdb/5DB70D89A5D2460D8734465D5A3D8C57-2.json.xz,ntkrpamp.pdb,5DB70D89A5D2460D8734465D5A3D8C57,2,"{'format': '6.1.0', 'producer': {'datetime': '2024-08-09T17:26:18.890797', 'name': 'volatility3', 'version': '2.7.0'}, 'windows': {'pdb': {'GUID': '5DB70D89A5D2460D8734465D5A3D8C57', 'age': 2, 'database': 'ntkrpamp.pdb', 'machine_type': 332}}}",ntkrpamp.pdb,5DB70D89A5D2460D8734465D5A3D8C57,2,6.1.0,volatility3,2.7.0,Unknown,15,961,25330,133,-
windows/ntkrpamp.pdb/765C070B0CC848398ABA88A920E9D70B-2.json.xz,ntkrpamp.pdb,765C070B0CC848398ABA88A920E9D70B,2,"{'format': '6.0.0', 'producer': {'datetime': '2019-01-16T13:01:38.283000', 'name': 'dia2json', 'version': '0.2.0'}, 'windows': {'pdb': {'GUID': '765C070B0CC848398ABA88A920E9D70B', 'age': 2, 'database': 'ntkrpamp.pdb', 'machine_type': 332}, 'pe': {'build': 22577, 'major': 6, 'minor': 0, 'revision': 6001}}}",ntkrpamp.pdb,765C070B0CC848398ABA88A920E9D70B,2,6.0.0,dia2json,0.2.0,Unknown,15,799,13682,94,-,windows_new/ntkrpamp.pdb/765C070B0CC848398ABA88A920E9D70B-2.json.xz,ntkrpamp.pdb,765C070B0CC848398ABA88A920E9D70B,2,"{'format': '6.1.0', 'producer': {'datetime': '2024-08-09T17:26:30.274628', 'name': 'volatility3', 'version': '2.7.0'}, 'windows': {'pdb': {'GUID': '765C070B0CC848398ABA88A920E9D70B', 'age': 2, 'database': 'ntkrpamp.pdb', 'machine_type': 332}}}",ntkrpamp.pdb,765C070B0CC848398ABA88A920E9D70B,2,6.1.0,volatility3,2.7.0,Unknown,14,799,16507,94,-
windows/ntkrpamp.pdb/47E46B0C2A684E7EBBDA9A3889ABA37B-2.json.xz,ntkrpamp.pdb,47E46B0C2A684E7EBBDA9A3889ABA37B,2,"{'format': '6.0.0', 'producer': {'datetime': '2019-01-16T12:53:07.038000', 'name': 'dia2json', 'version': '0.2.0'}, 'windows': {'pdb': {'GUID': '47E46B0C2A684E7EBBDA9A3889ABA37B', 'age': 2, 'database': 'ntkrpamp.pdb', 'machine_type': 332}, 'pe': {'build': 22008, 'major': 6, 'minor': 2, 'revision': 9200}}}",ntkrpamp.pdb,47E46B0C2A684E7EBBDA9A3889ABA37B,2,6.0.0,dia2json,0.2.0,Unknown,15,961,21232,133,-,windows_new/ntkrpamp.pdb/47E46B0C2A684E7EBBDA9A3889ABA37B-2.json.xz,ntkrpamp.pdb,47E46B0C2A684E7EBBDA9A3889ABA37B,2,"{'format': '6.1.0', 'producer': {'datetime': '2024-08-09T17:26:44.447243', 'name': 'volatility3', 'version': '2.7.0'}, 'windows': {'pdb': {'GUID': '47E46B0C2A684E7EBBDA9A3889ABA37B', 'age': 2, 'database': 'ntkrpamp.pdb', 'machine_type': 332}}}",ntkrpamp.pdb,47E46B0C2A684E7EBBDA9A3889ABA37B,2,6.1.0,volatility3,2.7.0,Unknown,15,961,25364,133,-
windows/ntkrpamp.pdb/7218B23444B64CC3A6C0FD06B2338954-2.json.xz,ntkrpamp.pdb,7218B23444B64CC3A6C0FD06B2338954,2,"{'format': '6.0.0', 'producer': {'datetime': '2019-01-16T13:00:41.208000', 'name': 'dia2json', 'version': '0.2.0'}, 'windows': {'pdb': {'GUID': '7218B23444B64CC3A6C0FD06B2338954', 'age': 2, 'database': 'ntkrpamp.pdb', 'machine_type': 332}, 'pe': {'build': 17231, 'major': 6, 'minor': 2, 'revision': 9200}}}",ntkrpamp.pdb,7218B23444B64CC3A6C0FD06B2338954,2,6.0.0,dia2json,0.2.0,Unknown,15,961,21197,133,-,windows_new/ntkrpamp.pdb/7218B23444B64CC3A6C0FD06B2338954-2.json.xz,ntkrpamp.pdb,7218B23444B64CC3A6C0FD06B2338954,2,"{'format': '6.1.0', 'producer': {'datetime': '2024-08-09T17:26:59.389063', 'name': 'volatility3', 'version': '2.7.0'}, 'windows': {'pdb': {'GUID': '7218B23444B64CC3A6C0FD06B2338954', 'age': 2, 'database': 'ntkrpamp.pdb', 'machine_type': 332}}}",ntkrpamp.pdb,7218B23444B64CC3A6C0FD06B2338954,2,6.1.0,volatility3,2.7.0,Unknown,15,961,25312,133,-
windows/ntkrpamp.pdb/43C6F01B57C247E9A3A3F7FD66A22F52-2.json.xz,ntkrpamp.pdb,43C6F01B57C247E9A3A3F7FD66A22F52,2,"{'format': '6.0.0', 'producer': {'datetime': '2019-01-16T12:51:55.653000', 'name': 'dia2json', 'version': '0.2.0'}, 'windows': {'pdb': {'GUID': '43C6F01B57C247E9A3A3F7FD66A22F52', 'age': 2, 'database': 'ntkrpamp.pdb', 'machine_type': 332}, 'pe': {'build': 18113, 'major': 6, 'minor': 1, 'revision': 7601}}}",ntkrpamp.pdb,43C6F01B57C247E9A3A3F7FD66A22F52,2,6.0.0,dia2json,0.2.0,Unknown,15,870,15595,110,-,windows_new/ntkrpamp.pdb/43C6F01B57C247E9A3A3F7FD66A22F52-2.json.xz,ntkrpamp.pdb,43C6F01B57C247E9A3A3F7FD66A22F52,2,"{'format': '6.1.0', 'producer': {'datetime': '2024-08-09T17:27:11.548024', 'name': 'volatility3', 'version': '2.7.0'}, 'windows': {'pdb': {'GUID': '43C6F01B57C247E9A3A3F7FD66A22F52', 'age': 2, 'database': 'ntkrpamp.pdb', 'machine_type': 332}}}",ntkrpamp.pdb,43C6F01B57C247E9A3A3F7FD66A22F52,2,6.1.0,volatility3,2.7.0,Unknown,15,870,18539,110,-
windows/ntkrpamp.pdb/9AF1AEF1811C499E9DBC88E0332EC2A2-2.json.xz,ntkrpamp.pdb,9AF1AEF1811C499E9DBC88E0332EC2A2,2,"{'format': '6.0.0', 'producer': {'datetime': '2019-01-16T13:08:12.394000', 'name': 'dia2json', 'version': '0.2.0'}, 'windows': {'pdb': {'GUID': '9AF1AEF1811C499E9DBC88E0332EC2A2', 'age': 2, 'database': 'ntkrpamp.pdb', 'machine_type': 332}}}",ntkrpamp.pdb,9AF1AEF1811C499E9DBC88E0332EC2A2,2,6.0.0,dia2json,0.2.0,Unknown,15,870,15596,110,-,windows_new/ntkrpamp.pdb/9AF1AEF1811C499E9DBC88E0332EC2A2-2.json.xz,ntkrpamp.pdb,9AF1AEF1811C499E9DBC88E0332EC2A2,2,"{'format': '6.1.0', 'producer': {'datetime': '2024-08-09T17:27:23.586928', 'name': 'volatility3', 'version': '2.7.0'}, 'windows': {'pdb': {'GUID': '9AF1AEF1811C499E9DBC88E0332EC2A2', 'age': 2, 'database': 'ntkrpamp.pdb', 'machine_type': 332}}}",ntkrpamp.pdb,9AF1AEF1811C499E9DBC88E0332EC2A2,2,6.1.0,volatility3,2.7.0,Unknown,15,870,18537,110,-
windows/ntkrpamp.pdb/B1532D85A55349E1964D8DE3C45D8538-2.json.xz,ntkrpamp.pdb,B1532D85A55349E1964D8DE3C45D8538,2,"{'format': '6.0.0', 'producer': {'datetime': '2019-01-16T13:12:02.751000', 'name': 'dia2json', 'version': '0.2.0'}, 'windows': {'pdb': {'GUID': 'B1532D85A55349E1964D8DE3C45D8538', 'age': 2, 'database': 'ntkrpamp.pdb', 'machine_type': 332}}}",ntkrpamp.pdb,B1532D85A55349E1964D8DE3C45D8538,2,6.0.0,dia2json,0.2.0,Unknown,15,870,15617,110,-,windows_new/ntkrpamp.pdb/B1532D85A55349E1964D8DE3C45D8538-2.json.xz,ntkrpamp.pdb,B1532D85A55349E1964D8DE3C45D8538,2,"{'format': '6.1.0', 'producer': {'datetime': '2024-08-09T17:27:35.470383', 'name': 'volatility3', 'version': '2.7.0'}, 'windows': {'pdb': {'GUID': 'B1532D85A55349E1964D8DE3C45D8538', 'age': 2, 'database': 'ntkrpamp.pdb', 'machine_type': 332}}}",ntkrpamp.pdb,B1532D85A55349E1964D8DE3C45D8538,2,6.1.0,volatility3,2.7.0,Unknown,15,870,18562,110,-
windows/ntkrpamp.pdb/8699101D2A6748B08C5E2901C0023B72-1.json.xz,ntkrpamp.pdb,8699101D2A6748B08C5E2901C0023B72,1,"{'format': '6.0.0', 'producer': {'datetime': '2019-01-16T13:04:31.953000', 'name': 'dia2json', 'version': '0.2.0'}, 'windows': {'pdb': {'GUID': '8699101D2A6748B08C5E2901C0023B72', 'age': 1, 'database': 'ntkrpamp.pdb', 'machine_type': 332}, 'pe': {'build': 966, 'major': 10, 'minor': 0, 'revision': 15063}}}",ntkrpamp.pdb,8699101D2A6748B08C5E2901C0023B72,1,6.0.0,dia2json,0.2.0,Unknown,15,1265,32227,190,-,windows_new/ntkrpamp.pdb/8699101D2A6748B08C5E2901C0023B72-1.json.xz,ntkrpamp.pdb,8699101D2A6748B08C5E2901C0023B72,1,"{'format': '6.1.0', 'producer': {'datetime': '2024-08-09T17:27:53.231396', 'name': 'volatility3', 'version': '2.7.0'}, 'windows': {'pdb': {'GUID': '8699101D2A6748B08C5E2901C0023B72', 'age': 1, 'database': 'ntkrpamp.pdb', 'machine_type': 332}}}",ntkrpamp.pdb,8699101D2A6748B08C5E2901C0023B72,1,6.1.0,volatility3,2.7.0,Unknown,15,1265,32203,190,-
windows/ntkrpamp.pdb/1044C31364BF4CF9AD7D24276B05200C-2.json.xz,ntkrpamp.pdb,1044C31364BF4CF9AD7D24276B05200C,2,"{'format': '6.0.0', 'producer': {'datetime': '2019-01-16T12:42:33.160000', 'name': 'dia2json', 'version': '0.2.0'}, 'windows': {'pdb': {'GUID': '1044C31364BF4CF9AD7D24276B05200C', 'age': 2, 'database': 'ntkrpamp.pdb', 'machine_type': 332}, 'pe': {'build': 18147, 'major': 6, 'minor': 1, 'revision': 7601}}}",ntkrpamp.pdb,1044C31364BF4CF9AD7D24276B05200C,2,6.0.0,dia2json,0.2.0,Unknown,15,870,15599,110,-,windows_new/ntkrpamp.pdb/1044C31364BF4CF9AD7D24276B05200C-2.json.xz,ntkrpamp.pdb,1044C31364BF4CF9AD7D24276B05200C,2,"{'format': '6.1.0', 'producer': {'datetime': '2024-08-09T17:28:05.933928', 'name': 'volatility3', 'version': '2.7.0'}, 'windows': {'pdb': {'GUID': '1044C31364BF4CF9AD7D24276B05200C', 'age': 2, 'database': 'ntkrpamp.pdb', 'machine_type': 332}}}",ntkrpamp.pdb,1044C31364BF4CF9AD7D24276B05200C,2,6.1.0,volatility3,2.7.0,Unknown,15,870,18543,110,-
windows/ntkrpamp.pdb/5FC4F7AACB3F4733ACBD041A3D1A3D1F-2.json.xz,ntkrpamp.pdb,5FC4F7AACB3F4733ACBD041A3D1A3D1F,2,"{'format': '6.0.0', 'producer': {'datetime': '2019-01-16T12:57:12.877000', 'name': 'dia2json', 'version': '0.2.0'}, 'windows': {'pdb': {'GUID': '5FC4F7AACB3F4733ACBD041A3D1A3D1F', 'age': 2, 'database': 'ntkrpamp.pdb', 'machine_type': 332}}}",ntkrpamp.pdb,5FC4F7AACB3F4733ACBD041A3D1A3D1F,2,6.0.0,dia2json,0.2.0,Unknown,15,870,15581,110,-,windows_new/ntkrpamp.pdb/5FC4F7AACB3F4733ACBD041A3D1A3D1F-2.json.xz,ntkrpamp.pdb,5FC4F7AACB3F4733ACBD041A3D1A3D1F,2,"{'format': '6.1.0', 'producer': {'datetime': '2024-08-09T17:28:18.016383', 'name': 'volatility3', 'version': '2.7.0'}, 'windows': {'pdb': {'GUID': '5FC4F7AACB3F4733ACBD041A3D1A3D1F', 'age': 2, 'database': 'ntkrpamp.pdb', 'machine_type': 332}}}",ntkrpamp.pdb,5FC4F7AACB3F4733ACBD041A3D1A3D1F,2,6.1.0,volatility3,2.7.0,Unknown,15,870,18517,110,-
